CODE,DESCRIPTION,REGION_CODE
14902,Picard,01
87902,Lac-Duparquet,08
01023,"Les Îles-de-la-Madeleine",11
01042,"Grosse-Île",11
01999,"Territoires Autres / Other Territories",01
02005,"Percé",11
02010,"Sainte-Thérèse-de-Gaspé",11
02015,"Grande-Rivière",11
02028,Chandler,11
02047,Port-Daniel/Gascons,11
02999,"Territoires Autres / Other Territories",02
03005,"Gaspé",11
03010,Cloridorme,11
03015,"Petite-Vallée",11
03020,"Grande-Vallée",11
03025,Murdochville,11
03902,"Rivière-Saint-Jean",11
03999,"Territoires Autres / Other Territories",03
04005,"Sainte-Madeleine-de-la-Rivière-Madeleine",11
04010,Saint-Maxime-du-Mont-Louis,11
04015,Mont-Saint-Pierre,11
04020,"Rivière-à-Claude",11
04025,Marsoui,11
04030,"La Martre",11
04037,Sainte-Anne-des-Monts,11
04047,Cap-Chat,11
04902,Mont-Albert,11
04999,"Territoires Autres / Other Territories",04
05010,Shigawake,11
05015,Saint-Godefroi,11
05020,"Hope Town",11
05025,Hope,11
05032,"Paspébiac",11
05040,"New Carlisle",11
05045,Bonaventure,11
05050,"Saint-Elzéar",11
05055,"Saint-Siméon",11
05060,Caplan,11
05065,Saint-Alphonse,11
05070,"New Richmond",11
05077,"Cascapédia/Saint-Jules",11
05902,"Rivière-Bonaventure",11
06005,Maria,11
06013,Carleton-sur-Mer,11
06020,Nouvelle,11
06025,Escuminac,11
06030,"Pointe-à-la-Croix",11
06035,Ristigouche-Partie-Sud-Est,11
06040,"Saint-André-de-Restigouche",11
06045,"Matapédia",11
06050,"Saint-Alexis-de-Matapédia",11
06055,"Saint-François-d'Assise",11
06060,"L'Ascension-de-Patapédia",11
07005,Sainte-Marguerite-Marie,01
07010,Sainte-Florence,01
07018,Causapscal,01
07025,Albertville,01
07030,"Saint-Léon-le-Grand",01
07035,"Saint-Zénon-du-Lac-Humqui",01
07040,"Sainte-Irène",01
07047,Amqui,01
07057,Lac-au-Saumon,01
07065,Saint-Alexandre-des-Lacs,01
07070,Saint-Tharcisius,01
07075,Saint-Vianney,01
07080,Val-Brillant,01
07085,Sayabec,01
07090,"Saint-Cléophas",01
07095,"Saint-Moïse",01
07100,"Saint-Noël",01
07105,Saint-Damase,01
07908,Lac-Casault,01
07999,"Territoires Autres / Other Territories",07
08005,"Les Méchins",01
08010,Saint-Jean-de-Cherbourg,01
08015,Grosses-Roches,01
08023,"Sainte-Félicité",01
08030,Saint-Adelme,01
08035,"Saint-René-de-Matane",01
08040,Sainte-Paule,01
08053,Matane,01
08065,"Saint-Léandre",01
08073,Saint-Ulric,01
08080,Baie-des-Sables,01
08902,"Rivière-Bonjour",01
08999,"Territoires Autres / Other Territories",08
09005,"La Rédemption",01
09010,Saint-Charles-Garnier,01
09015,"Les Hauteurs",01
09020,"Sainte-Jeanne-d'Arc",01
09025,Saint-Gabriel-de-Rimouski,01
09030,Saint-Donat,01
09035,"Sainte-Angèle-de-Mérici",01
09040,Padoue,01
09050,"Métis-sur-Mer",01
09055,"Saint-Octave-de-Métis",01
09060,"Grand-Métis",01
09065,Price,01
09070,Saint-Joseph-de-Lepage,01
09077,Mont-Joli,01
09085,Sainte-Flavie,01
09092,Sainte-Luce,01
09902,Lac-des-Eaux-Mortes,01
09999,"Territoires Autres / Other Territories",09
10005,Esprit-Saint,01
10010,"La Trinité-des-Monts",01
10015,Saint-Narcisse-de-Rimouski,01
10025,Saint-Marcellin,01
10030,Saint-Anaclet-de-Lessard,01
10043,Rimouski,01
10060,"Saint-Valérien",01
10070,Saint-Fabien,01
10075,"Saint-Eugène-de-Ladrière",01
10902,Lac-Huron,01
10999,"Territoires Autres / Other Territories",10
11005,"Saint-Clément",01
11010,Saint-Jean-de-Dieu,01
11015,Sainte-Rita,01
11020,Saint-Guy,01
11025,"Saint-Médard",01
11030,"Sainte-Françoise",01
11035,"Saint-Éloi",01
11040,Trois-Pistoles,01
11045,Notre-Dame-des-Neiges,01
11050,Saint-Mathieu-de-Rioux,01
11055,Saint-Simon-de-Rimouski,01
11999,"Territoires Autres / Other Territories",11
12005,Saint-Cyprien,01
12010,"Saint-Hubert-de-Rivière-du-Loup",01
12015,Saint-Antonin,01
12020,Saint-Modeste,01
12025,"Saint-François-Xavier-de-Viger",01
12030,"Saint-Épiphane",01
12035,Saint-Paul-de-la-Croix,01
12043,"L'Isle-Verte",01
12045,Notre-Dame-des-Sept-Douleurs,01
12065,"Saint-Arsène",01
