MUN_CODE,CODE,DESCRIPTION_FRANCAISE,DESCRIPTION_ANGLAISE
57040,E,"Du Centenaire","Du Centenaire"
57040,F,"Du Golf","Du Golf"
57040,G,"Du Tournesol","Du Tournesol"
57040,H,"Du Vieux-Beloeil","Du Vieux-Beloeil"
01023,A,Cap-aux-Meules,Cap-aux-Meules
87904,A,Languedoc,Languedoc
87904,Z,Autres,Others
87904,B,"Saint-Eugène-de-Chazel","Saint-Eugène-de-Chazel"
89045,A,Obaska,Obaska
89045,Z,Autres,Others
65108,A,"Ferme Papineau","Ferme Papineau"
65108,B,"Seigneurie Bellerose","Seigneurie Bellerose"
65108,C,"Terry Fox","Terry Fox"
65108,Z,Autres,Others
37067,A,Cap-de-la-Madeleine,Cap-de-la-Madeleine
37067,B,Pointe-du-Lac,Pointe-du-Lac
37067,C,Saint-Louis-de-France,Saint-Louis-de-France
37067,D,Sainte-Marthe-du-Cap,Sainte-Marthe-du-Cap
37067,E,"Trois-Rivières","Trois-Rivières"
37067,F,"Trois-Rivières-Ouest","Trois-Rivières-Ouest"
66505,D,Griffintown,Griffintown
99062,A,Beaucanton,Beaucanton
99062,B,Val-Paradis,Val-Paradis
82030,D,Onslow,Onslow
82035,C,Alcove,Alcove
82035,D,Farrelton,Farrelton
82035,E,Duclos,Duclos
82035,F,"East Aldfield","East Aldfield"
82035,G,Lac-des-Loups,Lac-des-Loups
82035,H,Wakefield,Wakefield
81017,V,"Touraine (maisons mobiles)","Touraine (mobile homes)"
81017,W,"Ferme Limbour, Limbour","Ferme Limbour, Limbour"
81017,X,Mont-Luc,Mont-Luc
81025,J,"Aylmer Nord","Aylmer Nord"
81025,K,Rivermead,Rivermead
81025,L,Lakeview,Lakeview
94930,C,"Zec Onatchiway","Zec Onatchiway"
94930,D,"Zec du Lac-de-la-Boiteuse","Zec du Lac-de-la-Boiteuse"
01023,B,Fatima,Fatima
01023,C,"Grande-Entrée","Grande-Entrée"
01023,D,Havre-aux-Maisons,Havre-aux-Maisons
01023,E,"L'Étang-du-Nord","L'Étang-du-Nord"
01023,F,"L'Île-d'Entrée","L'Île-d'Entrée"
01023,G,"L'Île-du-Havre-Aubert","L'Île-du-Havre-Aubert"
02005,A,"Cap d'Espoir","Cap d'Espoir"
02005,B,"Percé","Percé"
02005,C,Saint-Georges-Malbaie,Saint-Georges-Malbaie
02028,A,Chandler,Chandler
02028,B,Newport,Newport
02028,C,Pabos,Pabos
02028,D,"Pabos Mills","Pabos Mills"
02028,E,"Saint-François-de-Pabos","Saint-François-de-Pabos"
03005,A,Anse-Griffon/Cap-Rosiers/Forillon/Cap-Os,Anse-Griffon/Cap-Rosiers/Forillon/Cap-Os
03005,B,"Gaspé","Gaspé"
03005,C,"Rivière-au-Renard","Rivière-au-Renard"
03005,D,"Saint-Majorique, Wakeham, Pointe-Navare","Saint-Majorique, Wakeham, Pointe-Navare"
03005,E,St-Maurice/Pte-Jaune/Anse-Valleau/P.-Cap,St-Maurice/Pte-Jaune/Anse-Valleau/P.-Cap
03005,F,"York, Haldimand, Douglastown","York, Haldimand, Douglastown"
08053,A,Matane,Matane
08053,B,Petit-Matane,Petit-Matane
08053,C,"Saint-Jérome-de-Matane","Saint-Jérome-de-Matane"
08053,D,Saint-Luc-de-Matane,Saint-Luc-de-Matane
09050,A,"Les Boules","Les Boules"
09050,B,"Métis-sur-Mer","Métis-sur-Mer"
09077,A,Mont-Joli,Mont-Joli
09077,B,Saint-Jean-Baptiste,Saint-Jean-Baptiste
09092,A,Luceville,Luceville
09092,B,Sainte-Luce,Sainte-Luce
10043,A,Nazareth,Nazareth
10043,B,"Pointe-au-Père","Pointe-au-Père"
10043,C,Rimouski-Est,Rimouski-Est
10043,D,"Sacré-Coeur","Sacré-Coeur"
10043,E,"Sainte-Agnès/Saint-Germain","Sainte-Agnès/Saint-Germain"
10043,F,Sainte-Blandine/Mont-Lebel,Sainte-Blandine/Mont-Lebel
10043,G,Sainte-Odile,Sainte-Odile
10043,H,Saint-Robert,Saint-Robert
10043,I,"Terrasses Arthur-Buies","Terrasses Arthur-Buies"
10043,J,"Saint-Pie X","Saint-Pie X"
10043,K,"Le Bic","Le Bic"
13070,A,Cabano,Cabano
13070,B,Notre-Dame-du-Lac,Notre-Dame-du-Lac
16023,A,"La Baleine","La Baleine"
16023,B,"L'Isle-aux-Coudres","L'Isle-aux-Coudres"
16048,A,"Les Éboulements","Les Éboulements"
16048,B,Saint-Joseph-de-la-Rive,Saint-Joseph-de-la-Rive
23005,A,Laurentides,Laurentides
23005,B,Saint-Michel,Saint-Michel
23005,C,Vieux-Moulin,Vieux-Moulin
23005,D,Vieux-Bourg,Vieux-Bourg
23005,E,Chutes-Montmorency,Chutes-Montmorency
23027,A,"Vieux-Québec/Cap-Blanc/Colline parlem.","Vieux-Québec/Cap-Blanc/Colline parlem."
23027,B,Saint-Jean-Baptiste,Saint-Jean-Baptiste
23027,C,Saint-Roch,Saint-Roch
23027,D,Montcalm,Montcalm
23027,E,Saint-Sauveur,Saint-Sauveur
23027,F,Saint-Sacrement,Saint-Sacrement
23027,G,Lairet,Lairet
23027,H,Maizerets,Maizerets
23027,I,"Vieux Limoilou","Vieux Limoilou"
23028,D,"Des Châtels","Des Châtels"
23028,A,"Neufchâtel-Est/Lebourgneuf","Neufchâtel-Est/Lebourgneuf"
23028,B,"Duberger/Les Saules","Duberger/Les Saules"
23028,C,Vanier,Vanier
23029,A,"Cité-Universitaire","Cité-Universitaire"
23029,B,Plateau,Plateau
23029,C,Pointe-de-Sainte-Foy,Pointe-de-Sainte-Foy
23029,D,Saint-Louis,Saint-Louis
23029,E,Sillery,Sillery
23029,F,"Aéroport","Aéroport"
23029,G,Cap-Rouge,Cap-Rouge
23030,A,Notre-Dame-des-Laurentides,Notre-Dame-des-Laurentides
23030,B,Orsainville,Orsainville
23030,C,"Charlesbourg Est","Charlesbourg Est"
23030,D,"Des Jésuites","Des Jésuites"
23030,E,"Charlesbourg Ouest","Charlesbourg Ouest"
23030,F,Atrium,Atrium
23031,F,"Neufchâtel-Est/Lebourgneuf","Neufchâtel-Est/Lebourgneuf"
23031,A,Loretteville,Loretteville
23031,B,"Saint-Émile","Saint-Émile"
23031,C,Lac-Saint-Charles,Lac-Saint-Charles
23031,D,"Des Châtels","Des Châtels"
23031,E,"Val-Bélair","Val-Bélair"
23070,A,Est,East
23070,B,Ouest,West
25214,A,Charny,Charny
25214,B,"Sainte-Hélène-de-Breakeyville","Sainte-Hélène-de-Breakeyville"
25214,C,Saint-Jean-Chrysostome,Saint-Jean-Chrysostome
25214,D,Saint-Romuald,Saint-Romuald
25215,A,"Saint-Étienne-de-Lauzon","Saint-Étienne-de-Lauzon"
25215,B,Saint-Nicolas,Saint-Nicolas
25215,C,"Saint-Rédempteur","Saint-Rédempteur"
25216,A,"Lévis","Lévis"
25216,B,Pintendre,Pintendre
25216,C,"Saint-Joseph-de-la-Pointe-de-Lévy","Saint-Joseph-de-la-Pointe-de-Lévy"
28053,A,Lac-Etchemin,Lac-Etchemin
28053,B,Sainte-Germaine,Sainte-Germaine
29010,A,"Saint-Gédéon","Saint-Gédéon"
29010,B,"Saint-Gédéon-de-Beauce","Saint-Gédéon-de-Beauce"
29075,A,Aubert-Gallion,Aubert-Gallion
29075,B,Saint-Georges,Saint-Georges
29075,C,Saint-Georges-Est,Saint-Georges-Est
29075,D,Saint-Jean-de-la-Lande,Saint-Jean-de-la-Lande
31056,A,Adstock,Adstock
31056,B,"Sacré-Coeur-de-Marie","Sacré-Coeur-de-Marie"
31056,C,Sainte-Anne-du-Lac,Sainte-Anne-du-Lac
31056,D,"Saint-Méthode","Saint-Méthode"
31087,A,"Black Lake","Black Lake"
31087,B,Pontbriand,Pontbriand
31087,C,Robertsonville,Robertsonville
31087,D,"Thetford Mines","Thetford Mines"
31087,E,"Thetford Sud","Thetford Sud"
34050,A,Notre-Dame-de-Portneuf,Notre-Dame-de-Portneuf
34050,B,Portneuf-Sud,Portneuf-Sud
35010,A,Hervey-Jonction,Hervey-Jonction
35010,B,Lac-aux-Sables,Lac-aux-Sables
36033,E,"Grand-Mère","Grand-Mère"
